ID,Target
ID_AAOODF,Bato ya masano ya baskete bazali kobeta baskete na terrain ya baskete bato ya masano ya baskete bazali kobeta baskete na terrain ya baskete bayi bongo bilenge mibali balati bilamba na ba kilote na ba sengle na langi ya lilala mosusu langi ya bozenga.
ID_AAPBIE,Chikwata chevanhurume vomutambo webhasiketi bho chiri munhandare umo mune vanhu vakawanda vari kuona mutambo uyu. Vatambi ava vakapfeka hembe tsvuku vamwe zvichena. Pane bhora riri mudenga. Vose vari kurwira kuti vabate bhora iri.
ID_AATKGX,Pane ndege iri kumhara kana kuti kusimuka yakanzi EC Air. Ndege iyi inotaridza mavhiri mana matema. Kozouya bapiro rimwe chete rinoonekwa.
ID_AAYKBF,Na foto oyo nali komona ba lakisi nga awa eza carton moko ya alimente batie yango likolo ya libanga moko ya monene carton oyo eza na ba langi ya motane ya pembe pe ya mosaka na moyindo.
ID_ABPNFQ,Awa na moni ba lakisi biso bana mibali mibale oyo ba telemi na kati ya ndako na moni eza bana mibali oyo ba salaka spore oyo ya karate.
ID_ABXLTD,Awa mama kasi azotambola na mwana na ye mama wana alati elamba ya milai kasi yango eza na langi ya pembe eza kasi na langi ya mbwe pe na langi ya mwindu kasi azosimba mwana na ye na loboko akobaki tambola.
ID_ACXWNX,Safu ya kotokisa na likayabu ya kotumba bweka bweni sani ya mbele na pilipili ya kotuta pilipili batuta.
ID_ACZEVJ,Iyi imhando yehuku ine manhenga akawanda ebhurawuni ane machena musoro wayo muduku kupfuura muviri wayo makumbo ayo akatsika pasi panoratidza kuti pane masora ebhurawuni matema maziso haasi kuoneka nekuda kwekufushirika nemambava akawanda muromo wayo wakanongedza mberi kumashure kune fenzi yegireyi.
ID_ADOMPT,Shiri hombe yakacheneruka yakamhara padanda rakaoma rakapinda mvura iri kuongorora mvura kuona kana ingagona kuzviwanira hove yekudya.
ID_ADUOVN,Madomasi akawanda akatsvuka ari kuratidzirwa. Ari kutengeswa kuti avo vanoda kuwana zvokurungisa usavi vazvitengere vondobika kudzimba dzavo.
ID_AEYASK,Esika tokomi awa naomona na misu na nga ba lakisi ngai ba mabanga mabanga ya monene mpenza ba mabanga mwa minene minene pe na nsima mabanga minene minene oyo naomona bato ebele bao tala ba mabanga wana.
ID_AFAKEG,Foto elakisi pano publicitaire ya aviation moko ba bengaka yango lengo express.
ID_AFXWKR,Vanhu vechirume vakawanda vakamira panzvimbo inotambirwa mutambo wechirume webhora. Pane huswa huri kuonekwa hweruvara rwegirini kwoita mitsetse yakadhirowewa pasi yeruvara ruchena. Nechekumusoro kune macheya panogara vanhu vane ruvara rwakachena nerudzvuku.
ID_AGTPRM,Awa toza komona mesa na bakiti mibale tozomona bati yango esika moko bazolakisa biso ndenge ezali kitoko tomoni likolo ya mesa kamwa kopo moko ezali ezali kitoko mpenza ezali kitoko ndenge baza kolakisa biso yango awa.
ID_AICQQG,Na moni kisi oyo esungaka mpona malali ya libumu na kati na ndako na yango.
ID_AJLYXZ,Mberi kuemba kune firenji dhoo ine mabha machena uye mawindo ari kuoneka mukati. Mune masofa eorenji ne meti iri padhoo yekaki ine zvitema. Panze pefirenji dhoo pane matayira ari pasi.
ID_AJXJQK,Ewa awa ezali buku oyo ba komi jebukine tomoni ba komi evenement seigneur de zano yango wana ba komi baza kolokisa biso awa soki okoti na kati okotanga okoyeba biloko nini bazali koloba na kati kuna.
ID_AKEEIU,Munhukadzi akagadzira kumeso kwake. Akadhirowa tsiye dzake akapenda muromo. Munzeve dzake muna mhete dzakarembera. Musoro wakarukwa namabhuridzi akasungwa padivi napadivi.
ID_AKEKCT,Awa na moni eza na kati ya bilanga liboso na ngai nazomona mbuma moko ya kitoko pe ya elengi mingi.
ID_ALYEKY,Rokesheni rune dzimba dzakawanda. Pane iri padivi ine denga rine mataira matema. Pamberi payo pane motokari chena. Imwe ine denga rine marata egirinhi. Parutivi pedzimba pane marambi omumugwagwa.
ID_AMCCBI,Simbi inodaidzwa kuti shoko iyo inoshandiswa pamotokari yakagadzirwa nesimbi inoita basa rekuti motokari isanzwika mabhambi kana ichifamba.
ID_ANCBYL,Kisi ya bokoko eza kisi ya bokoko.
ID_ANEMZF,Motuka aza na makolo azotambola na nzela liboso na ye nzeta ebende ezali na nsima na ye motuka moko pe etelemi alati ba sapato ya pembe na likolo alati elamba eza na ba langi mingi.
