ID,Target
ID_AAOODF,Bato ya masano ya basket ba zali kobeta baskete na terrain ya basket bai bongo bilenge mibali ba lati bilamba cilote na basengle na langi ya lilala mosusu langi ya bozenga.
ID_AAPBIE,Chikwata chavanhurume vomutambo webhasiketi bho chiri munhandare umo mune vanhu vakawanda varikuona mutambo uyu. Vatambi ava vakapfeka hembe tsvuku vamwe zvichena. pane bhora riri mudenga. Vose vari kurwira kuti vabate bhora iri.
ID_AATKGX,Pane ndege iri kumhara kana kuti kusimuka yakanzi Car. Ndege iyi inotaridza mavhiri mana matema pozouya bapiro rimwe chete rinoonekwa.
ID_AAYKBF,Na foto oyo nali komona balakisinga awa eza carton moko ya almede batie ango likolo ya libanga moko ya monene karton oyo eza na ba langi ya motane ya pembe pe ya mosaka na moyindu.
ID_ABPNFQ,E awa na moni ba lakisi biso bana mibale mibale oyo ba telemi na kati ya ndako na moni eza bana mibale oyo ba salaka sport oyo ya karate.
ID_ABXLTD,Mama kasi azotambola na mwana na ye mama wana alati elamba ya milai kasi yango eza na langi ya pembe eza na kasi na langi ya mbwe pe na langi ya mwindo kasi azosimba mwana na ye na loboko batambola.
ID_ACXWNX,Safu ya kotokisa na likayabu ya kotumba boekabweni sani ya mbele na pilipili ya kotuta pilipi batuta.
ID_ACZEVJ,Iyi imhando yehuku ine manhenga akawanda ebhurawuni ane machena. musoro wayo muduku kupfuura muviri wayo. makumbo ayo akatsika pasi panoratidza kuti pane masora ebhurawuni matema. Maziso haasi kuoneka nekuda kwekufushirika nemambava akawanda. Muromo wayo wakanongedza mberi. Kumashure kune fenzi yegireyi.
ID_ADOMPT,Shiri hombe yakachenuruka yakamhara padanda rakaoma rakapinda mumvura iri kuongorora mumvura kuona kana ingagona kuzviwanira hove yokudya.
ID_ADUOVN,Madomasi akawanda akatsvuka rikuratidzirwa ari kutengeswa kuti avo vanoda kuwana zvekurungisa usavi vazvitengere vonobika kudzimba dzavo.
ID_AEYASK,Esika to komi awa nazo mona na miso na nga ba lakisi ngai ba mabanga mabanga ya monene mpe nza balaba minene pe na sima mabanga minene oyo na omona bato ebele baotala ba mabanga wana.
ID_AFAKEG,Photo elakisi pano publicitaire ya aviation moko ba bengaka yango lengo espresse.
ID_AFXWKR,Vanhu vechirume vakawanda vakamira panzvimbo inotambirwa mutambo wechirume webhora. Pane huswa huri kuonekwa hweruvara rwegirini kuita mitsetse yakadhirowewa pasi yeruvara ruchena. Nechekumusoro kune macheya panogara vanhu ane ruvara rwakachena nerudzvuku.
ID_AGTPRM,Awa toza komona mesa na ba kiti mibale tozo mona bati yango esika moko bazo lakisa biso ndenge ezali kitoko to moni likola mesa kamwa kopo moko ezali ezali kitoko mpenza ezali kitoko ndenge baza kolakisa biso yango awa.
ID_AICQQG,Na moni kisi oyo esungaka mpona malali ya libumu na kati na ndako na yango.
